protocol,key_bits,plaintext_bytes,seed,enc_ms,dec_ms,classical_security,post_grover_security
AES-256,256,1024,13,0.0132,0.0103,256,128
AES-256,256,1024,14,0.0136,0.0102,256,128
AES-256,256,1024,15,0.0129,0.0097,256,128
AES-256,256,1024,16,0.0123,0.0096,256,128
AES-256,256,1024,17,0.0124,0.0095,256,128
AES-256,256,1024,18,0.0125,0.0096,256,128
AES-256,256,1024,19,0.0128,0.0097,256,128
AES-256,256,1024,20,0.0124,0.0095,256,128
AES-256,256,1024,21,0.0125,0.0095,256,128
AES-256,256,1024,22,0.0128,0.0097,256,128
AES-256,256,1024,23,0.0125,0.0095,256,128
AES-256,256,1024,24,0.0123,0.0093,256,128
AES-256,256,1024,25,0.0123,0.0097,256,128
AES-256,256,1024,26,0.0127,0.0095,256,128
AES-256,256,1024,27,0.0125,0.0096,256,128
AES-256,256,1024,28,0.0128,0.0096,256,128
AES-256,256,1024,29,0.0124,0.0098,256,128
AES-256,256,1024,30,0.0126,0.0097,256,128
AES-256,256,1024,31,0.0127,0.0096,256,128
AES-256,256,1024,32,0.0128,0.0098,256,128
AES-256,256,1024,33,0.013,0.0096,256,128
AES-256,256,1024,34,0.0127,0.0095,256,128
AES-256,256,1024,35,0.0126,0.0098,256,128
AES-256,256,1024,36,0.0124,0.0097,256,128
AES-256,256,1024,37,0.013,0.0097,256,128
AES-256,256,1024,38,0.0126,0.0099,256,128
AES-256,256,1024,39,0.0128,0.0099,256,128
AES-256,256,1024,40,0.0128,0.0097,256,128
AES-256,256,1024,41,0.0129,0.0098,256,128
AES-256,256,1024,42,0.0126,0.0097,256,128
AES-256,256,1024,43,0.0133,0.0101,256,128
AES-256,256,1024,44,0.0132,0.0099,256,128
AES-256,256,1024,45,0.0129,0.0099,256,128
AES-256,256,1024,46,0.0126,0.0093,256,128
AES-256,256,1024,47,0.0235,0.0123,256,128
AES-256,256,1024,48,0.0128,0.0096,256,128
AES-256,256,1024,49,0.0124,0.0099,256,128
